"phase","is_practice","round","MSIT_trial_type","trial_duration","fixation_duration","stimulus","rt","key_press","correct_response","correct","is_missed","MSIT_trials_performed","time_elapsed","worker_ID","match_screen_side","n_matches","mismatch_screen_side","n_mismatches","demand_selection_trials_performed","message_duration","attention_check","event","trial","time"
"","","","","","","","","","","","","","","","","","","","","","","blur","193","963357"
"","","","","","","","","","","","","","","","","","","","","","","focus","215","1093497"
"","","","","","","","","","","","","","","","","","","","","","","blur","218","1095925"
"","","","","","","","","","","","","","","","","","","","","","","focus","218","1096909"
"","","","","","","","","","","","","","","","","","","","","","","blur","252","1134576"
"","","","","","","","","","","","","","","","","","","","","","","focus","262","1201887"
"","","","","","","","","","","","","","","","","","","","","","","blur","278","1235796"
"","","","","","","","","","","","","","","","","","","","","","","focus","279","1245821"
"","","","","","","","","","","","","","","","","","","","","","","blur","279","1247731"
"","","","","","","","","","","","","","","","","","","","","","","focus","280","1251625"
"","","","","","","","","","","","","","","","","","","","","","","blur","305","1291669"
"","","","","","","","","","","","","","","","","","","","","","","focus","305","1292869"
"","","","","","","","","","","","","","","","","","","","","","","blur","313","1320849"
"","","","","","","","","","","","","","","","","","","","","","","focus","313","1320857"
