"phase","is_practice","round","MSIT_trial_type","trial_duration","fixation_duration","stimulus","rt","key_press","correct_response","correct","is_missed","MSIT_trials_performed","time_elapsed","worker_ID","match_screen_side","n_matches","mismatch_screen_side","n_mismatches","demand_selection_trials_performed","message_duration","event","trial","time"
"MSIT","false","2","matching","1000","250","1 2 2","522.6350000593811","1","1","true","false","13","271675","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","3 2 3","493.86500008404255","2","2","true","false","14","272422","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 3 3","631.2949999701232","1","1","true","false","15","273309","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 1 3","627.0399999339134","3","3","true","false","16","274188","","","","","","","","","",""
"demand selection","false","2","","3000","","","","leftarrow","","","false","","275460","","left","2","right","3","16","500","","",""
"MSIT","false","2","matching","1000","250","1 2 2","436.52499991003424","1","1","true","false","1","276654","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 2 2","376.6649999888614","1","1","true","false","2","277282","","","","","","","","","",""
"demand selection","false","2","","3000","","","","rightarrow","","","false","","277881","","left","6","right","2","17","500","","",""
"MSIT","false","2","mismatching","1000","250","1 3 1","544.4600000046194","3","3","true","false","1","279186","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","2 2 1","625.7599999662489","1","1","true","false","2","280064","","","","","","","","","",""
"demand selection","false","2","","3000","","","","rightarrow","","","false","","280811","","right","10","left","10","18","500","","",""
"demand selection","false","2","","3000","","","","rightarrow","","","false","","282204","","left","16","right","7","19","500","","",""
"MSIT","false","2","mismatching","1000","250","3 2 2","502.0850000437349","3","3","true","false","1","283467","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","1 1 2","474.70000002067536","1","2","false","false","2","284193","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","2 2 1","494.7150000371039","2","1","false","false","3","284944","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","1 1 2","824.9399999622256","2","2","true","false","4","286025","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 1 1","555.7099999859929","3","3","true","false","5","286833","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","2 3 3","544.9149999767542","2","2","true","false","6","287630","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","2 2 1","485.66999996546656","1","1","true","false","7","288367","","","","","","","","","",""
"demand selection","false","2","","3000","","","","rightarrow","","","false","","288997","","left","9","right","6","20","500","","",""
"demand selection","false","2","","3000","","","","leftarrow","","","false","","290362","","right","15","left","9","21","500","","",""
"MSIT","false","2","mismatching","1000","250","2 1 2","464.0450000297278","1","1","true","false","1","291586","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 1 3","443.6149999964982","1","1","true","false","2","292283","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 1 3","443.1500000646338","1","1","true","false","3","292980","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 1 1","661.7550000082701","3","3","true","false","4","293898","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","1 3 1","479.9049999564886","3","3","true","false","5","294632","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","2 3 2","547.7949999039993","3","3","true","false","6","295435","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","2 3 2","461.94499998819083","3","3","true","false","7","296153","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 3 1","600.8200000505894","1","1","true","false","8","297004","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","2 1 1","620.11999997776","2","2","true","false","9","297881","","","","","","","","","",""
